 18 	 0.19173646 	 -4.60955233 	 0.00013267 	 0.00100015 
 45 	 0.17983153 	 -5.45476423 	 0.00014010 	 0.00099153 
  7 	 1.58359641 	 -4.93831520 	 0.00015953 	 0.00110106 
 63 	 2.94830459 	 -4.90647388 	 0.00009718 	 0.00110587 
 16 	 3.51585150 	 -3.32702625 	 0.00010301 	 0.00143852 
 90 	 3.73919982 	 -1.97030411 	 0.00023889 	 0.00024261 
 61 	 2.24406021 	 -1.07891322 	 0.00010404 	 0.00026642 
 81 	 1.19823329 	 -0.83895828 	 0.00010342 	 0.00008777 
  9 	 0.23922394 	 0.15570854 	 0.00017020 	 0.00018738 
 25 	 0.15708961 	 1.76041593 	 0.00007387 	 0.00020464 
 36 	 1.08064321 	 2.93448590 	 0.00019918 	 0.00067829 
 70 	 2.32780058 	 3.85415241 	 0.00007377 	 0.00013784 
 54 	 3.70005174 	 4.46678850 	 0.00004711 	 0.00021663 
 72 	 5.70990705 	 4.96425836 	 0.00020917 	 0.00037574 
 27 	 5.25409433 	 5.53795003 	 0.00018493 	 0.00029565 
